#curie_map:
#  BTO: http://purl.obolibrary.org/obo/BTO_
#  CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#  CL: http://purl.obolibrary.org/obo/CL_
#  CLO: http://purl.obolibrary.org/obo/CLO_
#  DOID: http://purl.obolibrary.org/obo/DOID_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  EMAPA: http://purl.obolibrary.org/obo/EMAPA_
#  EO: http://purl.obolibrary.org/obo/EO_
#  FBbt: http://purl.obolibrary.org/obo/FBbt_
#  FBdv: http://purl.obolibrary.org/obo/FBdv_
#  FMA: http://purl.obolibrary.org/obo/FMA_
#  GAZ: http://purl.obolibrary.org/obo/GAZ_
#  GO: http://purl.obolibrary.org/obo/GO_
#  HANCESTRO: http://purl.obolibrary.org/obo/HANCESTRO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  HsapDv: http://purl.obolibrary.org/obo/HsapDv_
#  MONDO: http://purl.obolibrary.org/obo/MONDO_
#  MP: http://purl.obolibrary.org/obo/MP_
#  MPATH: http://purl.obolibrary.org/obo/MPATH_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  NCIT: http://purl.obolibrary.org/obo/NCIT_
#  OBI: http://purl.obolibrary.org/obo/OBI_
#  OMIT: http://purl.obolibrary.org/obo/OMIT_
#  OPL: http://purl.obolibrary.org/obo/OPL_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#  PATO: http://purl.obolibrary.org/obo/PATO_
#  PO: http://purl.obolibrary.org/obo/PO_
#  PR: http://purl.obolibrary.org/obo/PR_
#  RS: http://purl.obolibrary.org/obo/RS_
#  TO: http://purl.obolibrary.org/obo/TO_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  UO: http://purl.obolibrary.org/obo/UO_
#  WBbt: http://purl.obolibrary.org/obo/WBbt_
#  WBls: http://purl.obolibrary.org/obo/WBls_
#  XAO: http://purl.obolibrary.org/obo/XAO_
#  dbpedia.resource: http://dbpedia.org/resource/
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/atlas.sssom.tsv
#mapping_set_description: Curated text-to-ontology mappings from Expression Atlas
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/gxa
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
(-)-methyl jasmonate	compound	skos:closeMatch	CHEBI:15929	semapv:ManualMappingCuration	Anja Fullgrabe	2018-10-16
(22R)-22-hydroxycholesterol	compound	skos:closeMatch	CHEBI:67237	semapv:ManualMappingCuration	Anja Fullgrabe	2019-10-10
(9R,13R)-12-oxo-phytodienoic acid	compound	skos:closeMatch	CHEBI:34005	semapv:ManualMappingCuration	Laura Huerta	2016-03-03
(−)-methyl jasmonate	compound	skos:closeMatch	CHEBI:15929	semapv:ManualMappingCuration	Anja Fullgrabe;Nancy George	2021-06-11
0 % liver / 0 % brain / 100 % lung	organism part	skos:closeMatch	UBERON:0002048	semapv:ManualMappingCuration	Laura Huerta	2016-03-03
0 % liver / 100 % brain / 0 % lung	organism part	skos:closeMatch	UBERON:0000955	semapv:ManualMappingCuration	Laura Huerta	2016-03-03
0 seed germination stage	developmental stage	skos:closeMatch	PO:0007057	semapv:ManualMappingCuration	Laura Huerta	2018-02-01
0.02% Silwet	compound	skos:closeMatch	CHEBI:35195	semapv:ManualMappingCuration	Laura Huerta	2016-03-03
0.1 mM nitrate	growth condition	skos:closeMatch	CHEBI:17632	semapv:ManualMappingCuration	Laura Huerta	2015-12-02
0.1% quercetin diet	diet	skos:closeMatch	CHEBI:16243	semapv:ManualMappingCuration	Laura Huerta;Maria Keays	2015-03-13
0.3 % NaCl diet	growth condition	skos:closeMatch	CHEBI:26710	semapv:ManualMappingCuration	Laura Huerta	2016-03-03
0.3 millimolar salicylic acid	growth condition	skos:closeMatch	CHEBI:16914	semapv:ManualMappingCuration	Eleanor Williams;Laura Huerta	2014-11-26
0.5% quercetin diet	diet	skos:closeMatch	CHEBI:16243	semapv:ManualMappingCuration	Laura Huerta;Maria Keays	2015-03-13
0.5mM H2O2 for 60 minutes	treatment	skos:closeMatch	CHEBI:16240	semapv:ManualMappingCuration	Laura Huerta	2015-12-02
0.75 gram per liter mannose	growth condition	skos:closeMatch	CHEBI:15866	semapv:ManualMappingCuration	Eleanor Williams;Laura Huerta	2014-10-01
05-10 cm inflorescence	developmental stage	skos:closeMatch	PO:0009049	semapv:ManualMappingCuration	Laura Huerta	2016-02-19
1 Boyes key	developmental stage	skos:closeMatch	PO:0007113	semapv:ManualMappingCuration	Laura Huerta;Maria Keays	2015-03-13
1 cm fruit	organism part	skos:closeMatch	PO:0009001	semapv:ManualMappingCuration	Laura Huerta	2016-08-01
1 gram per liter mannose	growth condition	skos:closeMatch	CHEBI:15866	semapv:ManualMappingCuration	Eleanor Williams;Laura Huerta	2014-10-01
1 gram per milliliter tunicamycin	growth condition	skos:closeMatch	CHEBI:29699	semapv:ManualMappingCuration	Laura Huerta	2016-03-03
1 micromolar auxin	compound	skos:closeMatch	CHEBI:22676	semapv:ManualMappingCuration	Eleanor Williams;Laura Huerta	2014-10-01
1 micromolar brassinolide	compound	skos:closeMatch	CHEBI:28277	semapv:ManualMappingCuration	Laura Huerta	2015-11-30
1 micromolar indole-3-acetic acid	compound	skos:closeMatch	CHEBI:16411	semapv:ManualMappingCuration	Laura Huerta	2015-06-30
1 micromolar salicylic acid at ZT24	treatment	skos:closeMatch	CHEBI:16914	semapv:ManualMappingCuration	Laura Huerta	2015-12-02
1 micromolar salicylic acid at ZT36	treatment	skos:closeMatch	CHEBI:16914	semapv:ManualMappingCuration	Laura Huerta	2015-12-02
1 millimolar ammonium	growth condition	skos:closeMatch	CHEBI:28938	semapv:ManualMappingCuration	Eleanor Williams;Laura Huerta	2014-10-01
1 millimolar glucose	compound	skos:closeMatch	CHEBI:17234	semapv:ManualMappingCuration	Laura Huerta	2015-11-30
1 millimolar hydrogen peroxide	compound	skos:closeMatch	CHEBI:16240	semapv:ManualMappingCuration	Laura Huerta	2015-11-30
1 millimolar hydrogen peroxide and 1 micromolar brassinolide	compound	skos:closeMatch	CHEBI:16240	semapv:ManualMappingCuration	Laura Huerta	2016-06-09
1 millimolar hydrogen peroxide and 1 micromolar brassinolide	compound	skos:closeMatch	CHEBI:28277	semapv:ManualMappingCuration	Laura Huerta	2016-06-09
1 millimolar nitrate	growth condition	skos:closeMatch	CHEBI:17632	semapv:ManualMappingCuration	Eleanor Williams;Laura Huerta	2014-10-01
1,2,3-Trichloropropane	compound	skos:closeMatch	CHEBI:34036	semapv:ManualMappingCuration	Laura Huerta	2017-03-31
1,2,4-benzenetriol	compound	skos:closeMatch	CHEBI:22707	semapv:ManualMappingCuration	Laura Huerta;Maria Keays	2015-03-13
1,2-Dibromoethane	compound	skos:closeMatch	CHEBI:28534	semapv:ManualMappingCuration	Laura Huerta	2015-10-07
1,25-dihydroxyvitamin D3	compound	skos:closeMatch	CHEBI:27300	semapv:ManualMappingCuration	Eleanor Williams;Laura Huerta	2014-10-01
1,4-Dichlorobenzene	compound	skos:closeMatch	CHEBI:28618	semapv:ManualMappingCuration	Laura Huerta	2015-10-07
1,4-dithiothreitol	compound	skos:closeMatch	CHEBI:18320	semapv:ManualMappingCuration	Nancy George	2020-08-12
1,5-Naphthalenediamine	compound	skos:closeMatch	CHEBI:53003	semapv:ManualMappingCuration	Laura Huerta	2015-10-07
1,9 dideoxy forskolin	compound	skos:closeMatch	CHEBI:50295	semapv:ManualMappingCuration	Laura Huerta	2016-03-03
1-Amino-2,4-dibromoanthraquinone	compound	skos:closeMatch	CHEBI:82304	semapv:ManualMappingCuration	Laura Huerta	2017-03-31
1-cell	developmental stage	skos:closeMatch	CL:0000365	semapv:ManualMappingCuration	Laura Huerta	2016-03-03
1-cell stage embryo	developmental stage	skos:closeMatch	EFO:0001322	semapv:ManualMappingCuration	Nancy George	2019-04-11
1-naphthaleneacetic acid	treatment	skos:closeMatch	CHEBI:32918	semapv:ManualMappingCuration	Laura Huerta	2016-03-03
1-naphthylacetic acid	treatment	skos:closeMatch	CHEBI:32918	semapv:ManualMappingCuration	Laura Huerta;Maria Keays	2015-06-22
1.0% quercetin diet	diet	skos:closeMatch	CHEBI:16243	semapv:ManualMappingCuration	Laura Huerta;Maria Keays	2015-03-13
1.01 Boyes key	developmental stage	skos:closeMatch	PO:0007113	semapv:ManualMappingCuration	Laura Huerta;Maria Keays	2015-03-13
1.02 Boyes key	developmental stage	skos:closeMatch	PO:0007098	semapv:ManualMappingCuration	Laura Huerta	2015-11-30
