#curie_map:
#  BSPO: http://purl.obolibrary.org/obo/BSPO_
#  BTO: http://purl.obolibrary.org/obo/BTO_
#  CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#  CHMO: http://purl.obolibrary.org/obo/CHMO_
#  CL: http://purl.obolibrary.org/obo/CL_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  ENVO: http://purl.obolibrary.org/obo/ENVO_
#  EO: http://purl.obolibrary.org/obo/EO_
#  ERO: http://purl.obolibrary.org/obo/ERO_
#  ExO: http://purl.obolibrary.org/obo/ExO_
#  FBbt: http://purl.obolibrary.org/obo/FBbt_
#  GO: http://purl.obolibrary.org/obo/GO_
#  MS: http://purl.obolibrary.org/obo/MS_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  OBI: http://purl.obolibrary.org/obo/OBI_
#  OMIT: http://purl.obolibrary.org/obo/OMIT_
#  PATO: http://purl.obolibrary.org/obo/PATO_
#  PO: http://purl.obolibrary.org/obo/PO_
#  SO: http://purl.obolibrary.org/obo/SO_
#  UO: http://purl.obolibrary.org/obo/UO_
#  edam.topic: http://edamontology.org/topic_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/cbi.sssom.tsv
#mapping_set_description: Curated plant biosample mappings
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/biosamples
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
"""seedling, two leaves visible, three leaves visible"""	CBI-plant	skos:closeMatch	PO:0007098	semapv:ManualMappingCuration	Paola Roncaglia	2016-06-21
"""shoot apex, inflorescence (after bolting)"""	CBI-plant	skos:closeMatch	EFO:0001029	semapv:ManualMappingCuration	Paola Roncaglia	2016-06-21
(Arabidopsis thaliana x Arabidopsis arenosa) x Arabidopsis suecica	CBI-plant	skos:closeMatch	NCBITaxon:1328956	semapv:ManualMappingCuration	Sirarat Sarntivijai	2016-06-21
(Vitis vinifera x Vitis berlandieri) x Vitis berlandieri	CBI-plant	skos:closeMatch	NCBITaxon:1417298	semapv:ManualMappingCuration	Sirarat Sarntivijai	2016-06-21
(col-0)	CBI-plant	skos:closeMatch	EFO:0005148	semapv:ManualMappingCuration	Paola Roncaglia	2016-06-21
1 Boyes key	CBI-plant	skos:closeMatch	PO:0007113	semapv:ManualMappingCuration	Paola Roncaglia	2016-06-21
1 main shoot growth	CBI-plant	skos:closeMatch	PO:0007112	semapv:ManualMappingCuration	Paola Roncaglia	2016-06-21
1.01 Boyes key	CBI-plant	skos:closeMatch	PO:0007113	semapv:ManualMappingCuration	Paola Roncaglia	2016-06-21
1.04 Boyes key	CBI-plant	skos:closeMatch	PO:0007115	semapv:ManualMappingCuration	Paola Roncaglia	2016-06-21
5.10 Boyes key	CBI-plant	skos:closeMatch	PO:0007006	semapv:ManualMappingCuration	Paola Roncaglia	2016-06-21
