#curie_map:
#  DOID: http://purl.obolibrary.org/obo/DOID_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#  omim: http://identifiers.org/omim/
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/cttv.sssom.tsv
#mapping_set_description: Curated disease indication mappings from Open Targets
#subject_type: rdfs literal
#subject_source: https://www.targetvalidation.org
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
16p11.2 deletion syndrome	disease	skos:closeMatch	ORPHA:261197	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
17-alpha-hydroxylase/17,20-lyase deficiency	disease	skos:closeMatch	ORPHA:90793	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
1q21.1 recurrent microdeletion	disease	skos:closeMatch	ORPHA:250989	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
2-aminoadipic and 2-oxoadipic aciduria	disease	skos:closeMatch	ORPHA:79154	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
22q13.3 deletion syndrome	disease	skos:closeMatch	ORPHA:48652	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
3-M syndrome 1	disease	skos:closeMatch	ORPHA:2616	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
3-M syndrome 2	disease	skos:closeMatch	ORPHA:2616	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY	disease	skos:closeMatch	ORPHA:6	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
3-METHYLGLUTACONIC ACIDURIA, TYPE VIII	disease	skos:closeMatch	ORPHA:289902	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
3-Methylcrotonyl-CoA carboxylase 1 deficiency	disease	skos:closeMatch	ORPHA:6	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
3-Methylcrotonyl-CoA carboxylase 2 deficiency	disease	skos:closeMatch	ORPHA:6	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
3-hydroxyacyl-CoA dehydrogenase deficiency	disease	skos:closeMatch	ORPHA:5	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome	disease	skos:closeMatch	ORPHA:352328	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
3MC syndrome 2	disease	skos:closeMatch	ORPHA:293843	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
4-Hydroxyphenylpyruvate dioxygenase deficiency	disease	skos:closeMatch	ORPHA:69723	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
46,XX sex reversal 2	disease	skos:closeMatch	ORPHA:393	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
46XY partial gonadal dysgenesis, with minifascicular neuropathy	disease	skos:closeMatch	ORPHA:168563	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
46XY sex reversal 1	disease	skos:closeMatch	ORPHA:242	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
46XY sex reversal 3	disease	skos:closeMatch	ORPHA:251510	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
46XY sex reversal 6	disease	skos:closeMatch	ORPHA:251510	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
46XY sex reversal 7	disease	skos:closeMatch	ORPHA:242	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
46XY sex reversal 9	disease	skos:closeMatch	ORPHA:251510	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
ACAD9 deficiency	disease	skos:closeMatch	ORPHA:99901	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
ADULT syndrome	disease	skos:closeMatch	ORPHA:978	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
AICAR transformylase/IMP cyclohydrolase deficiency	disease	skos:closeMatch	ORPHA:250977	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
AICARDI-GOUTIERES SYNDROME 2	disease	skos:closeMatch	ORPHA:51	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
AICARDI-GOUTIERES SYNDROME 4	disease	skos:closeMatch	ORPHA:51	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
