#curie_map:
#  CL: http://purl.obolibrary.org/obo/CL_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#  PATO: http://purl.obolibrary.org/obo/PATO_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/ebisc.sssom.tsv
#mapping_set_description: Curated text-to-ontology mappings from EBiSC
#subject_type: rdfs literal
#subject_source: https://cells.ebisc.org/
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
Bardet-Biedl syndrome	disease	skos:closeMatch	ORPHA:110	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
Catecholaminergic polymorphic ventricular tachycardia	disease	skos:closeMatch	ORPHA:3286	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
Dravet syndrome	disease	skos:closeMatch	ORPHA:33069	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
Erythromelalgia	disease	skos:closeMatch	ORPHA:1956	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
Facioscapulohumeral dystrophy	disease	skos:closeMatch	ORPHA:269	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
Frontotemporal dementia	disease	skos:closeMatch	ORPHA:282	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
Gaucher disease	disease	skos:closeMatch	ORPHA:355	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
Huntington disease	disease	skos:closeMatch	ORPHA:399	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
Pain agnosia	disease	skos:closeMatch	EFO:1001484	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
Parkinson's disease	disease	skos:closeMatch	EFO:0002508	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
Proximal spinal muscular atrophy type 3	disease	skos:closeMatch	ORPHA:83419	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
Retinitis pigmentosa	disease	skos:closeMatch	ORPHA:791	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
Spinocerebellar ataxia type 3	disease	skos:closeMatch	ORPHA:98757	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
X-linked creatine transporter deficiency	disease	skos:closeMatch	ORPHA:52503	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
age-related macular degeneration	disease	skos:closeMatch	EFO:0001365	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
amyotrophic lateral sclerosis	disease	skos:closeMatch	EFO:0000253	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
cord blood hematopoietic stem cell	cell_line	skos:closeMatch	CL:2000095	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
epidermolysis bullosa	disease	skos:closeMatch	EFO:1000690	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
erythroblast	cell_line	skos:closeMatch	CL:0000765	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
fibroblast	cell_line	skos:closeMatch	CL:0000057	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
fibroblast of dermis	cell_line	skos:closeMatch	CL:0002551	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
foreskin keratinocyte	cell_line	skos:closeMatch	CL:1001606	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
keratinocyte	cell_line	skos:closeMatch	CL:0000312	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
mesenchymal stem cell of the bone marrow	cell_line	skos:closeMatch	CL:0002540	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
normal	disease	skos:closeMatch	PATO:0000461	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
pancytopenia and hypocellular bone marrow	disease	skos:closeMatch	HP:0001876	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
prolonged QT interval	disease	skos:closeMatch	HP:0001657	semapv:ManualMappingCuration	Luca Cherubin	2016-07-27
