#curie_map:
#  BTO: http://purl.obolibrary.org/obo/BTO_
#  CL: http://purl.obolibrary.org/obo/CL_
#  CLO: http://purl.obolibrary.org/obo/CLO_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  EO: http://purl.obolibrary.org/obo/EO_
#  FMA: http://purl.obolibrary.org/obo/FMA_
#  GO: http://purl.obolibrary.org/obo/GO_
#  MONDO: http://purl.obolibrary.org/obo/MONDO_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  NCIT: http://purl.obolibrary.org/obo/NCIT_
#  OBI: http://purl.obolibrary.org/obo/OBI_
#  OMIT: http://purl.obolibrary.org/obo/OMIT_
#  PATO: http://purl.obolibrary.org/obo/PATO_
#  PO: http://purl.obolibrary.org/obo/PO_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  UO: http://purl.obolibrary.org/obo/UO_
#  lbo: http://purl.obolibrary.org/obo/LBO_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/faang.sssom.tsv
#mapping_set_description: FAANG project curated mappings
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/vg/faang
subject_label	subject_category	predicate_id	object_id	mapping_justification
2 cell stage	developmentalStage	skos:closeMatch	UBERON:0007232	semapv:ManualMappingCuration
2-cell	organismPart, cellType, developmentalStage	skos:closeMatch	EFO:0001285	semapv:ManualMappingCuration
6 Weeks	developmentalStage	skos:closeMatch	UO:0000034	semapv:ManualMappingCuration
6 weeks	developmentalStage	skos:closeMatch	UO:0000034	semapv:ManualMappingCuration
8-cell	organismPart, cellType	skos:closeMatch	EFO:0001289	semapv:ManualMappingCuration
AM	cellType	skos:closeMatch	EFO:0001063	semapv:ManualMappingCuration
Abomasum	organismPart, cellType	skos:closeMatch	UBERON:0007358	semapv:ManualMappingCuration
Abomasum (smooth muscle)	organismPart, cellType	skos:closeMatch	UBERON:0007358	semapv:ManualMappingCuration
Adipose	organismPart, cellType	skos:closeMatch	UBERON:0001013	semapv:ManualMappingCuration
Adipose (messenteric)	organismPart, cellType	skos:closeMatch	UBERON:0014454	semapv:ManualMappingCuration
Adipose (perirenal)	organismPart, cellType	skos:closeMatch	UBERON:0014454	semapv:ManualMappingCuration
Adipose Tissue	organismPart, cellType	skos:closeMatch	UBERON:0001013	semapv:ManualMappingCuration
Adipose tissue	organismPart, cellType	skos:closeMatch	UBERON:0001013	semapv:ManualMappingCuration
Adrenal	organismPart, cellType	skos:closeMatch	UBERON:0002369	semapv:ManualMappingCuration
Adrenal Cortex	organismPart, cellType	skos:closeMatch	UBERON:0001235	semapv:ManualMappingCuration
Adult	developmentalStage	skos:closeMatch	EFO:0001272	semapv:ManualMappingCuration
Adult stage	developmentalStage	skos:closeMatch	EFO:0001272	semapv:ManualMappingCuration
