#curie_map:
#  CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#  CL: http://purl.obolibrary.org/obo/CL_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  FMA: http://purl.obolibrary.org/obo/FMA_
#  GO: http://purl.obolibrary.org/obo/GO_
#  HANCESTRO: http://purl.obolibrary.org/obo/HANCESTRO_
#  HsapDv: http://purl.obolibrary.org/obo/HsapDv_
#  MONDO: http://purl.obolibrary.org/obo/MONDO_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  OBI: http://purl.obolibrary.org/obo/OBI_
#  PATO: http://purl.obolibrary.org/obo/PATO_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  UO: http://purl.obolibrary.org/obo/UO_
#  edam.data: http://edamontology.org/data_
#  obo: http://purl.obolibrary.org/obo/
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/hca.sssom.tsv
#mapping_set_description: Human Cell Atlas curated mappings
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/about/collaborations/human-cell-atlas
subject_label	subject_category	predicate_id	object_id	mapping_justification
"""Blood pre-cDC,blood pre-conventional dendritic cells (cDCs)"""	selected_cell_types	skos:closeMatch	CL:0002010	semapv:ManualMappingCuration
"""CB pre-cDC,cord blood pre-conventional dendritic cells (cDCs)"""	selected_cell_types	skos:closeMatch	CL:0002010	semapv:ManualMappingCuration
"""CD141+ cDC,primary human conventional dendritic cells (cDCs)"""	selected_cell_types	skos:closeMatch	CL:0000990	semapv:ManualMappingCuration
"""CD1c+ cDC,primary human conventional dendritic cells (cDCs)"""	selected_cell_types	skos:closeMatch	CL:0000990	semapv:ManualMappingCuration
"""CD34-positive, CD38-negative hematopoietic stem cell"""	cell_type	skos:closeMatch	CL:0001024	semapv:ManualMappingCuration
"""CD34-positive, CD38-negative hematopoietic stem cell"""	selected_cell_types	skos:closeMatch	CL:0001024	semapv:ManualMappingCuration
"""Cataract on left eye, right eye has normal ocular history"""	diseases	skos:closeMatch	MONDO:0005129	semapv:ManualMappingCuration
"""European, White, British"""	ethnicity	skos:closeMatch	HANCESTRO:0462	semapv:ManualMappingCuration
"""White - other, Ad Mixed American"""	ethnicity	skos:closeMatch	HANCESTRO:0005	semapv:ManualMappingCuration
1-month-old human stage	development_stage	skos:closeMatch	HsapDv:0000174	semapv:ManualMappingCuration
10X  5' v2 sequencing	library_construction_method	skos:closeMatch	EFO:0009899	semapv:ManualMappingCuration
10X 3' v1 sequencing	library_construction_method	skos:closeMatch	EFO:0009901	semapv:ManualMappingCuration
10X 3' v2 sequencing	library_construction_method	skos:closeMatch	EFO:0009899	semapv:ManualMappingCuration
10X 3' v2 sequencing	library_construction_method	skos:closeMatch	EFO:0009900	semapv:ManualMappingCuration
10X 3' v3 sequencing	library_construction_method	skos:closeMatch	EFO:0009922	semapv:ManualMappingCuration
10X 5' v2 sequencing	library_construction_method	skos:closeMatch	EFO:0009900	semapv:ManualMappingCuration
10X Ig enrichment	library_construction_method	skos:closeMatch	EFO:0010715	semapv:ManualMappingCuration
10X TCR enrichment	library_construction_method	skos:closeMatch	EFO:0010714	semapv:ManualMappingCuration
10X v1 sequencing	library_construction_method	skos:closeMatch	EFO:0009897	semapv:ManualMappingCuration
10X v2 3' sequencing	library_construction_method	skos:closeMatch	EFO:0009310	semapv:ManualMappingCuration
10X v2 3' sequencing	library_construction_method	skos:closeMatch	EFO:0009899	semapv:ManualMappingCuration
10X v2 sequencing	library_construction_method	skos:closeMatch	EFO:0009310	semapv:ManualMappingCuration
10X v2 three prime	library_construction_method	skos:closeMatch	EFO:0009899	semapv:ManualMappingCuration
10X v3 sequencing	library_construction_method	skos:closeMatch	EFO:0009898	semapv:ManualMappingCuration
10pcw	development_stage	skos:closeMatch	HsapDv:0000047	semapv:ManualMappingCuration
10th post-conception week	development_stage	skos:closeMatch	HsapDv:0000047	semapv:ManualMappingCuration
10th week post-fertilization human stage	development_stage	skos:closeMatch	HsapDv:0000047	semapv:ManualMappingCuration
10x 3' V2	library_construction_method	skos:closeMatch	EFO:0009899	semapv:ManualMappingCuration
10x 3' V3 sequencing	library_construction_method	skos:closeMatch	EFO:0009922	semapv:ManualMappingCuration
10x 3' v2	library_construction_method	skos:closeMatch	EFO:0009899	semapv:ManualMappingCuration
10x 3' v2 sequencing	library_construction_method	skos:closeMatch	EFO:0009899	semapv:ManualMappingCuration
10x 3' v3 sequencing	library_construction_method	skos:closeMatch	EFO:0009922	semapv:ManualMappingCuration
10x 5p V2	library_construction_method	skos:closeMatch	EFO:0009900	semapv:ManualMappingCuration
