#curie_map:
#  BTO: http://purl.obolibrary.org/obo/BTO_
#  CEPH: http://purl.obolibrary.org/obo/CEPH_
#  CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#  CHMO: http://purl.obolibrary.org/obo/CHMO_
#  CL: http://purl.obolibrary.org/obo/CL_
#  CLO: http://purl.obolibrary.org/obo/CLO_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  ENVO: http://purl.obolibrary.org/obo/ENVO_
#  EO: http://purl.obolibrary.org/obo/EO_
#  FOODON: http://purl.obolibrary.org/obo/FOODON_
#  GO: http://purl.obolibrary.org/obo/GO_
#  MI: http://purl.obolibrary.org/obo/MI_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  NCIT: http://purl.obolibrary.org/obo/NCIT_
#  OBI: http://purl.obolibrary.org/obo/OBI_
#  OMIT: http://purl.obolibrary.org/obo/OMIT_
#  PO: http://purl.obolibrary.org/obo/PO_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  VTO: http://purl.obolibrary.org/obo/VTO_
#  bao: http://www.bioassayontology.org/bao#BAO_
#  edam.topic: http://edamontology.org/topic_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/metabolights.sssom.tsv
#mapping_set_description: Curated metabolomics mappings from MetaboLights
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/metabolights
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
2'-deoxyadenosine	organismPart	skos:closeMatch	CHEBI:17256	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
A-549 cell	organismPart	skos:closeMatch	BTO:0000018	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
A2780 cell	organismPart	skos:closeMatch	EFO:0006362	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
A549	organismPart	skos:closeMatch	EFO:0001086	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
ARPE-19 cell	organismPart	skos:closeMatch	EFO:0006271	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Achillea millefolium	organism	skos:closeMatch	NCIT:C74311	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Acorus calamus	organism	skos:closeMatch	NCIT:C72221	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Acromyrmex octospinosus	organism	skos:closeMatch	NCBITaxon:64783	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Acropora	organism	skos:closeMatch	NCBITaxon:6127	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Acropora aspera	organism	skos:closeMatch	NCBITaxon:140238	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Aedes albopictus	organism	skos:closeMatch	NCBITaxon:7160	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Aegopodium podagraria	organism	skos:closeMatch	NCBITaxon:40902	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Aerva lanata	organism	skos:closeMatch	NCBITaxon:292353	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Agave americana	organism	skos:closeMatch	NCIT:C72228	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Ailuropoda melanoleuca	organism	skos:closeMatch	NCBITaxon:9646	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Alopecurus pratensis	organism	skos:closeMatch	NCBITaxon:15304	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Althaea officinalis	organism	skos:closeMatch	NCBITaxon:145745	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Anethum graveolens	organism	skos:closeMatch	NCBITaxon:40922	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Angelica archangelica	organism	skos:closeMatch	NCBITaxon:40949	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Anopheles gambiae	organism	skos:closeMatch	NCBITaxon:7165	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Anthoxanthum odoratum	organism	skos:closeMatch	NCBITaxon:29661	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Aphis gossypii	organism	skos:closeMatch	NCBITaxon:80765	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Apis cerana	organism	skos:closeMatch	NCBITaxon:7461	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Aquatica lateralis	organism	skos:closeMatch	NCBITaxon:7052	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Aqueous Humor	organismPart	skos:closeMatch	NCIT:C13190	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Arabidopsis thaliana	organism	skos:closeMatch	NCBITaxon:3702	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Arachis hypogaea	organism	skos:closeMatch	NCBITaxon:3818	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Aralia elata	organism	skos:closeMatch	NCBITaxon:82095	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Arctium lappa	organism	skos:closeMatch	NCBITaxon:4217	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Aronia melanocarpa	organism	skos:closeMatch	NCBITaxon:661339	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Arrhenatherum elatius	organism	skos:closeMatch	NCBITaxon:52139	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Artemisia absinthium	organism	skos:closeMatch	NCBITaxon:72332	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Artificial sputum medium	organism	skos:closeMatch	NCIT:C85504	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Asarum europaeum	organism	skos:closeMatch	NCBITaxon:49456	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Aspergillus fumigatus	organism	skos:closeMatch	NCBITaxon:746128	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Astragalus mongholicus	organism	skos:closeMatch	NCBITaxon:119829	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Astragalus propinquus	organism	skos:closeMatch	NCBITaxon:158324	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Avenula pubescens	organism	skos:closeMatch	NCBITaxon:87471	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
BTO:blood plasma	organismPart	skos:closeMatch	UBERON:0001969	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
BY4741	organismPart	skos:closeMatch	EFO:0000098	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Bacillus drentensis	organism	skos:closeMatch	NCBITaxon:220684	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Bacillus methanolicus	organism	skos:closeMatch	NCBITaxon:1471	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Bacillus subtilis	organismPart	skos:closeMatch	NCBITaxon:1423	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Bacteria	factor	skos:closeMatch	NCBITaxon:2	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Bergenia crassifolia	organism	skos:closeMatch	NCBITaxon:29762	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Betula pendula	organism	skos:closeMatch	NCBITaxon:3505	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Bidens tripartita	organism	skos:closeMatch	NCBITaxon:51276	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Bos taurus	organism	skos:closeMatch	NCBITaxon:9913	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Brachythecium rutabulum	organism	skos:closeMatch	NCBITaxon:53005	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Brassica juncea	organism	skos:closeMatch	NCBITaxon:3707	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Brassica napus	organism	skos:closeMatch	NCBITaxon:3708	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Brassica oleracea	organism	skos:closeMatch	NCBITaxon:3712	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Bronchoalveolar Lavage Fluid	organismPart	skos:closeMatch	NCIT:C13195	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Buffer	organismPart	skos:closeMatch	EFO:0005434	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Bupleurum aureum	organism	skos:closeMatch	NCBITaxon:428561	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Burkholderia thailandensis	organism	skos:closeMatch	NCBITaxon:57975	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
