#curie_map:
#  cmpo: http://www.ebi.ac.uk/cmpo/CMPO_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/sysmicro.sssom.tsv
#mapping_set_description: Curated cellular microscopy phenotype mappings from SysMicro
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/fg/sym
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
Accumulation of GFP-RNF168 on nuclear bodies	phenotype	skos:closeMatch	cmpo:0000126	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Accumulation of GFP-RNF168 on nuclear bodies	phenotype	skos:closeMatch	cmpo:0000335	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Actin fiber cells	phenotype	skos:closeMatch	cmpo:0000105	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Apoptotic DNA	phenotype	skos:closeMatch	cmpo:0000262	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Asymmetric lamellae	phenotype	skos:closeMatch	cmpo:0000266	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
BL phenotype	phenotype	skos:closeMatch	cmpo:0000128	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
BL phenotype	phenotype	skos:closeMatch	cmpo:0000154	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Big cells	phenotype	skos:closeMatch	cmpo:0000128	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Binuclear	phenotype	skos:closeMatch	cmpo:0000213	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Bright nuclei	phenotype	skos:closeMatch	cmpo:0000154	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Cell shape bipolar or elongated	phenotype	skos:closeMatch	cmpo:0000077	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Cell shape geometric	phenotype	skos:closeMatch	cmpo:0000261	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Cell shape processes or spiky or stretchy	phenotype	skos:closeMatch	cmpo:0000267	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Cell shape round or non-adherent	phenotype	skos:closeMatch	cmpo:0000118	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Cell shape variable	phenotype	skos:closeMatch	cmpo:0000270	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Cells with protrusions	phenotype	skos:closeMatch	cmpo:0000071	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Decreased DNA area	phenotype	skos:closeMatch	cmpo:0000141	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Decreased cell number	phenotype	skos:closeMatch	cmpo:0000052	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Decreased cell size	phenotype	skos:closeMatch	cmpo:0000129	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Decreased level of actin	phenotype	skos:closeMatch	cmpo:0000106	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Decreased level of microtubules	phenotype	skos:closeMatch	cmpo:0000068	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Decreased number of filopodia	phenotype	skos:closeMatch	cmpo:0000067	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Decreased peripheral actin	phenotype	skos:closeMatch	cmpo:0000273	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Decreased width of lamellae	phenotype	skos:closeMatch	cmpo:0000277	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Disorganised peripheral actin	phenotype	skos:closeMatch	cmpo:0000274	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Dynamic changes	phenotype	skos:closeMatch	cmpo:0000345	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Elongated cells	phenotype	skos:closeMatch	cmpo:0000077	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Elongated cells with protrusions	phenotype	skos:closeMatch	cmpo:0000071	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Elongated cells with protrusions	phenotype	skos:closeMatch	cmpo:0000077	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Grape	phenotype	skos:closeMatch	cmpo:0000156	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
High actin ratio cells	phenotype	skos:closeMatch	cmpo:0000105	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Impaired cell migration	phenotype	skos:closeMatch	cmpo:0000309	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Impaired cell migration with increased protrusive activity	phenotype	skos:closeMatch	cmpo:0000309	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Impaired cell migration with increased protrusive activity	phenotype	skos:closeMatch	cmpo:0000349	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased DNA area	phenotype	skos:closeMatch	cmpo:0000140	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased actin over nucleus	phenotype	skos:closeMatch	cmpo:0000294	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased cell migration and increased cell area	phenotype	skos:closeMatch	cmpo:0000128	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased cell migration and increased cell area	phenotype	skos:closeMatch	cmpo:0000232	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased cell migration and increased cell area	phenotype	skos:closeMatch	cmpo:0000237	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased cell number	phenotype	skos:closeMatch	cmpo:0000051	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased cell size	phenotype	skos:closeMatch	cmpo:0000128	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased cytoplasmic actin	phenotype	skos:closeMatch	cmpo:0000296	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased directional cell migration	phenotype	skos:closeMatch	cmpo:0000350	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased level of actin	phenotype	skos:closeMatch	cmpo:0000105	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
