#curie_map:
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  MP: http://purl.obolibrary.org/obo/MP_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  NCIT: http://purl.obolibrary.org/obo/NCIT_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/ukbiobank.sssom.tsv
#mapping_set_description: UK Biobank phenotype mappings to EFO
#subject_type: rdfs literal
#subject_source: https://github.com/EBISPOT/EFO-UKB-mappings
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
"""Adverse effects, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009658	semapv:ManualMappingCuration	efo	2019-04-26
"""Antepartum haemorrhage, not elsewhere classified"""	phenotype	skos:closeMatch	HP:0025328	semapv:ManualMappingCuration	efo	2019-04-26
"""Bacterial pneumonia, not elsewhere classified"""	disease	skos:closeMatch	EFO:1001272	semapv:ManualMappingCuration	efo	2019-04-26
"""Benign neoplasm of colon, rectum, anus and anal canal"""	disease	skos:closeMatch	EFO:0003835	semapv:ManualMappingCuration	efo	2019-04-26
"""Bronchitis, not specified as acute or chronic"""	disease	skos:closeMatch	EFO:0009661	semapv:ManualMappingCuration	efo	2019-04-26
"""Certain early complications of trauma, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009518	semapv:ManualMappingCuration	efo	2019-04-26
"""Chronic rhinitis, nasopharyngitis and pharyngitis"""	disease	skos:closeMatch	EFO:0008521	semapv:ManualMappingCuration	efo	2019-04-26
"""Complications of procedures, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009518	semapv:ManualMappingCuration	efo	2019-04-26
"""Complications of the puerperium, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009683	semapv:ManualMappingCuration	efo	2019-04-26
"""Convulsions, not elsewhere classified"""	phenotype	skos:closeMatch	HP:0001250	semapv:ManualMappingCuration	efo	2019-04-26
"""Cysts of oral region, not elsewhere classified"""	disease	skos:closeMatch	EFO:0003868	semapv:ManualMappingCuration	efo	2019-04-26
"""Diastolic blood pressure, automated reading"""	measurement	skos:closeMatch	EFO:0006336	semapv:ManualMappingCuration	efo	2019-04-26
"""Diseases of vocal cords and larynx, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009673	semapv:ManualMappingCuration	efo	2019-04-26
"""Dislocation, sprain and strain of joints and ligaments at ankle and foot level"""	disease	skos:closeMatch	EFO:1002021	semapv:ManualMappingCuration	efo	2019-04-26
"""Dislocation, sprain and strain of joints and ligaments at neck level"""	disease	skos:closeMatch	EFO:0009476	semapv:ManualMappingCuration	efo	2019-04-26
"""Dislocation, sprain and strain of joints and ligaments at wrist and hand level"""	disease	skos:closeMatch	EFO:0009521	semapv:ManualMappingCuration	efo	2019-04-26
