#curie_map:
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/uniprot.sssom.tsv
#mapping_set_description: Curated disease mappings from UniProt
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/uniprot
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
*Ablepharon-macrostomia syndrome	disease	skos:closeMatch	ORPHA:920	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Amyotrophic lateral sclerosis 5, juvenile	disease	skos:closeMatch	ORPHA:300605	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Arthrogryposis, distal, 8	disease	skos:closeMatch	ORPHA:65743	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Barber-Say syndrome	disease	skos:closeMatch	ORPHA:1231	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Beukes familial hip dysplasia	disease	skos:closeMatch	ORPHA:2114	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Congenital anomalies of kidney and urinary tract 2	disease	skos:closeMatch	ORPHA:2190	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Corneal dystrophy, Fuchs endothelial, 3	disease	skos:closeMatch	ORPHA:98974	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Deafness, autosomal recessive, 66	disease	skos:closeMatch	ORPHA:90636	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Distal spinal muscular atrophy, autosomal recessive, 2	disease	skos:closeMatch	ORPHA:139552	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Epilepsy, familial adult myoclonic, 2	disease	skos:closeMatch	ORPHA:86814	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
*Epithelial recurrent erosion dystrophy	disease	skos:closeMatch	ORPHA:293381	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Heimler syndrome 1	disease	skos:closeMatch	ORPHA:3220	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Hypertension and brachydactyly syndrome	disease	skos:closeMatch	ORPHA:1276	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
*Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome	disease	skos:closeMatch	ORPHA:2087	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
*Immunodeficiency 41 with lymphoproliferation and autoimmunity	disease	skos:closeMatch	ORPHA:169100	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Lateral meningocele syndrome	disease	skos:closeMatch	ORPHA:2789	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Myopathy, myosin storage, autosomal recessive	disease	skos:closeMatch	ORPHA:53698	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
*Nevus spilus	disease	skos:closeMatch	ORPHA:626	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
*Palmoplantar keratoderma and congenital alopecia 1	disease	skos:closeMatch	ORPHA:1010	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Pontocerebellar hypoplasia 3	disease	skos:closeMatch	ORPHA:97249	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
*Premature aging syndrome, Penttinen type	disease	skos:closeMatch	ORPHA:363665	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Spastic paraplegia 9A, autosomal dominant	disease	skos:closeMatch	ORPHA:100990	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Spitz nevus	disease	skos:closeMatch	ORPHA:626	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
*Spondyloocular syndrome	disease	skos:closeMatch	ORPHA:85194	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Thyroid cancer, non-medullary, 2	disease	skos:closeMatch	EFO:0000501	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
*Zimmermann-Laband syndrome 1	disease	skos:closeMatch	ORPHA:3473	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
2-aminoadipic 2-oxoadipic aciduria	disease	skos:closeMatch	ORPHA:79154	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia	disease	skos:closeMatch	ORPHA:289902	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
46,XY sex reversal 10	disease	skos:closeMatch	ORPHA:242	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
46,XY sex reversal 9	disease	skos:closeMatch	ORPHA:251510	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Achondroplasia, severe, with developmental delay and acanthosis nigricans	disease	skos:closeMatch	ORPHA:85165	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Achromatopsia 7	disease	skos:closeMatch	ORPHA:49382	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Acid-labile subunit deficiency	disease	skos:closeMatch	ORPHA:140941	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Acrofacial dysostosis, Cincinnati type	disease	skos:closeMatch	ORPHA:364574	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Acromelic frontonasal dysostosis	disease	skos:closeMatch	ORPHA:1827	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Adams-Oliver syndrome 5	disease	skos:closeMatch	ORPHA:974	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
